age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
38,self-employed,divorced,secondary,2,no,no,cellular,20,nov,291,2,-1,0,unknown,no
35,admin.,married,secondary,725,yes,no,cellular,10,jul,402,1,-1,0,unknown,no
33,services,single,unknown,2297,no,no,cellular,27,jul,527,1,-1,0,unknown,yes
29,services,married,secondary,23,no,no,cellular,17,jul,57,4,-1,0,unknown,no
33,blue-collar,married,secondary,217,yes,no,unknown,15,may,561,1,-1,0,unknown,no
55,management,divorced,tertiary,17,no,no,cellular,19,aug,129,4,-1,0,unknown,no
50,entrepreneur,divorced,tertiary,315,no,no,cellular,8,jan,249,1,119,1,failure,no
43,management,married,primary,0,yes,yes,cellular,20,nov,123,3,-1,0,unknown,no
36,technician,married,secondary,129,yes,no,cellular,6,aug,64,2,-1,0,unknown,no
27,blue-collar,married,secondary,1341,yes,yes,unknown,30,may,254,2,-1,0,unknown,no
49,blue-collar,divorced,secondary,10613,no,yes,cellular,4,feb,1226,1,-1,0,unknown,yes
36,services,divorced,secondary,241,yes,no,unknown,8,may,133,1,-1,0,unknown,no
31,blue-collar,married,secondary,-112,no,yes,cellular,15,jul,128,1,-1,0,unknown,no
28,self-employed,single,tertiary,270,yes,no,cellular,7,may,49,2,345,2,failure,no
57,retired,married,primary,5799,no,no,unknown,17,jun,97,1,-1,0,unknown,no
24,student,single,secondary,4126,no,no,cellular,2,oct,83,5,191,2,success,no
55,management,married,tertiary,6880,no,no,cellular,8,aug,353,2,-1,0,unknown,no
31,self-employed,married,secondary,296,yes,yes,cellular,24,jul,171,1,-1,0,unknown,no
54,management,divorced,secondary,300,yes,no,cellular,7,may,329,1,168,2,success,no
41,services,married,secondary,1717,yes,no,cellular,8,may,520,2,343,3,other,no
25,blue-collar,single,secondary,-350,yes,no,unknown,23,jun,95,3,-1,0,unknown,no
37,housemaid,married,primary,189,no,no,cellular,8,aug,148,4,-1,0,unknown,no
24,blue-collar,single,secondary,-286,yes,no,unknown,23,may,327,2,-1,0,unknown,no
31,technician,divorced,secondary,-1185,yes,no,unknown,16,jun,81,5,-1,0,unknown,no
40,blue-collar,divorced,primary,-78,no,yes,cellular,17,nov,330,2,-1,0,unknown,no
38,blue-collar,married,primary,1,yes,no,cellular,7,may,154,1,-1,0,unknown,no
32,blue-collar,single,secondary,476,yes,yes,unknown,19,may,503,2,-1,0,unknown,no
57,admin.,married,primary,202,yes,no,cellular,20,apr,207,1,346,2,failure,no
49,services,married,unknown,463,yes,no,telephone,15,jul,541,2,-1,0,unknown,no
72,retired,divorced,tertiary,402,no,no,cellular,12,jul,194,3,-1,0,unknown,no
35,technician,married,secondary,4323,yes,yes,cellular,20,nov,126,1,-1,0,unknown,no
56,management,married,tertiary,563,yes,no,cellular,6,may,100,2,168,1,failure,no
32,blue-collar,single,secondary,1139,yes,no,cellular,29,jan,57,1,191,1,failure,no
38,management,single,tertiary,6836,yes,no,unknown,29,may,374,4,-1,0,unknown,no
29,self-employed,married,tertiary,0,yes,yes,unknown,5,jun,399,3,-1,0,unknown,no
38,admin.,single,secondary,245,yes,yes,cellular,17,apr,71,2,345,2,success,no
46,blue-collar,divorced,primary,1927,yes,no,unknown,6,may,241,3,-1,0,unknown,no
36,blue-collar,married,secondary,722,yes,no,unknown,29,may,103,7,-1,0,unknown,no
21,admin.,single,secondary,66,yes,no,cellular,15,may,31,1,330,2,failure,no
56,services,divorced,secondary,218,yes,no,cellular,2,feb,113,2,249,2,failure,no
30,admin.,married,secondary,-170,yes,yes,unknown,26,may,130,1,-1,0,unknown,no
35,management,single,tertiary,995,no,no,cellular,5,feb,39,1,-1,0,unknown,no
39,self-employed,married,secondary,1304,yes,yes,cellular,7,may,183,3,-1,0,unknown,no
52,self-employed,married,tertiary,2289,yes,yes,cellular,21,nov,81,1,-1,0,unknown,no
31,technician,single,tertiary,162,no,no,cellular,28,aug,13,9,-1,0,unknown,no
27,blue-collar,single,secondary,535,no,no,cellular,16,nov,183,1,94,1,success,yes
33,entrepreneur,single,secondary,278,no,no,cellular,1,feb,563,5,-1,0,unknown,yes
27,admin.,single,tertiary,954,no,no,cellular,29,jan,186,1,-1,0,unknown,no
52,admin.,divorced,secondary,2717,no,no,telephone,18,nov,114,1,162,2,failure,no
59,admin.,married,secondary,4196,no,no,telephone,31,jul,10,2,-1,0,unknown,no
60,technician,divorced,primary,-85,no,yes,telephone,8,jul,58,2,-1,0,unknown,no
29,blue-collar,married,primary,163,yes,yes,cellular,29,jan,80,2,-1,0,unknown,no
29,blue-collar,married,primary,79,yes,no,unknown,27,may,22,2,-1,0,unknown,no
29,management,divorced,tertiary,607,yes,yes,unknown,8,may,240,3,-1,0,unknown,no
54,services,married,secondary,-22,no,yes,cellular,9,jul,85,1,-1,0,unknown,no
49,blue-collar,married,secondary,0,yes,no,telephone,11,may,52,1,-1,0,unknown,no
58,housemaid,married,primary,422,no,no,unknown,9,jun,183,1,-1,0,unknown,no
58,technician,married,secondary,86,no,no,cellular,30,jul,95,3,-1,0,unknown,no
30,admin.,single,secondary,154,yes,no,cellular,21,nov,24,2,-1,0,unknown,no
35,technician,married,secondary,0,no,no,cellular,14,jul,460,3,-1,0,unknown,no
32,management,married,tertiary,1196,yes,no,cellular,11,jul,508,1,-1,0,unknown,no
45,services,married,primary,7811,no,no,unknown,16,jun,143,2,-1,0,unknown,no
32,technician,married,secondary,344,yes,no,cellular,20,nov,179,1,197,1,failure,no
51,entrepreneur,married,secondary,2156,yes,no,cellular,25,jul,84,3,-1,0,unknown,no
36,admin.,divorced,secondary,181,yes,no,cellular,7,may,271,2,-1,0,unknown,no
54,blue-collar,single,unknown,1555,yes,no,telephone,30,jan,258,5,248,2,failure,no
44,blue-collar,married,primary,-171,yes,no,unknown,7,may,441,2,-1,0,unknown,no
28,blue-collar,single,primary,431,yes,no,cellular,13,may,68,2,363,2,failure,no
37,technician,single,tertiary,197,no,no,cellular,15,feb,531,1,91,2,success,yes
25,student,single,secondary,486,no,no,cellular,13,sep,273,3,199,4,failure,yes
57,technician,married,unknown,345,yes,no,unknown,6,may,125,1,-1,0,unknown,no
51,blue-collar,married,primary,7080,no,no,unknown,11,jun,26,1,-1,0,unknown,no
49,blue-collar,married,secondary,2039,yes,no,cellular,18,nov,283,2,-1,0,unknown,no
45,technician,married,secondary,118,yes,no,unknown,7,may,208,2,-1,0,unknown,no
32,entrepreneur,married,tertiary,281,yes,no,telephone,20,apr,18,5,349,2,failure,no
32,blue-collar,married,secondary,363,yes,no,unknown,13,may,431,1,-1,0,unknown,no
37,blue-collar,single,unknown,217,no,no,cellular,23,sep,272,2,-1,0,unknown,yes
47,services,married,secondary,311,yes,yes,cellular,12,may,238,1,301,3,failure,no
40,services,divorced,unknown,5847,no,no,telephone,17,nov,206,1,-1,0,unknown,no
56,self-employed,married,secondary,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no
31,management,single,tertiary,0,no,no,cellular,25,aug,191,5,-1,0,unknown,no
36,technician,married,secondary,15485,no,no,cellular,26,may,83,1,42,1,success,no
57,blue-collar,married,secondary,5270,yes,no,telephone,17,nov,101,1,-1,0,unknown,no
51,self-employed,married,secondary,1377,no,no,unknown,20,jun,9,2,-1,0,unknown,no
36,technician,married,tertiary,167,yes,no,cellular,28,jan,57,1,-1,0,unknown,no
40,management,married,tertiary,254,no,no,cellular,19,aug,194,2,-1,0,unknown,no
43,blue-collar,married,primary,186,yes,no,unknown,8,may,178,1,-1,0,unknown,no
54,retired,married,primary,-58,no,no,cellular,12,may,143,4,-1,0,unknown,no
22,services,single,secondary,250,yes,no,cellular,18,may,117,3,-1,0,unknown,no
35,management,married,tertiary,249,yes,no,cellular,6,aug,127,2,-1,0,unknown,no
37,services,married,secondary,2678,no,no,cellular,25,mar,156,1,-1,0,unknown,yes
48,technician,married,secondary,522,yes,no,unknown,19,may,71,1,-1,0,unknown,no
52,management,married,tertiary,168,no,no,cellular,28,aug,165,4,-1,0,unknown,no
55,management,married,secondary,190,no,no,unknown,9,jun,271,2,-1,0,unknown,no
29,self-employed,married,tertiary,2305,no,no,cellular,27,may,82,2,-1,0,unknown,no
35,management,married,tertiary,-4,no,no,cellular,8,aug,129,2,-1,0,unknown,no
58,blue-collar,married,primary,2547,no,no,unknown,15,may,174,4,-1,0,unknown,no
44,housemaid,married,primary,-156,no,yes,cellular,30,jul,1211,2,-1,0,unknown,yes
32,admin.,single,tertiary,3188,no,no,cellular,5,feb,65,2,242,1,other,no
37,management,married,tertiary,0,yes,no,cellular,17,apr,236,3,-1,0,unknown,no
46,technician,married,secondary,2045,yes,no,cellular,21,nov,281,2,-1,0,unknown,no
45,admin.,married,secondary,236,no,no,cellular,20,aug,703,2,-1,0,unknown,yes
60,technician,married,secondary,824,yes,no,cellular,9,aug,265,1,181,8,success,yes
26,student,single,secondary,620,no,no,cellular,22,may,223,1,94,1,success,yes
31,technician,divorced,secondary,26,yes,no,unknown,9,may,62,1,-1,0,unknown,no
30,management,single,tertiary,2876,no,no,cellular,6,aug,103,4,-1,0,unknown,no
34,self-employed,single,secondary,55,yes,no,cellular,18,may,155,1,-1,0,unknown,no
31,housemaid,married,primary,2603,yes,no,cellular,18,nov,224,1,-1,0,unknown,no
48,technician,married,secondary,2111,no,no,cellular,20,apr,92,1,-1,0,unknown,no
50,services,married,primary,-158,no,no,cellular,22,aug,203,4,-1,0,unknown,no
62,retired,married,secondary,3114,no,no,cellular,18,may,243,2,186,1,success,yes
44,services,married,secondary,300,yes,no,cellular,7,jul,182,3,-1,0,unknown,no
38,entrepreneur,married,primary,21,yes,no,cellular,25,jul,65,4,-1,0,unknown,no
31,technician,single,secondary,538,yes,no,cellular,17,apr,660,3,-1,0,unknown,no
34,entrepreneur,married,secondary,2,yes,yes,cellular,5,may,184,1,167,6,failure,no
59,retired,single,secondary,-341,no,yes,cellular,14,jul,94,3,-1,0,unknown,no
41,management,married,tertiary,2781,yes,no,cellular,12,aug,95,2,-1,0,unknown,no
24,admin.,married,secondary,299,yes,no,cellular,6,may,209,1,321,1,failure,no
72,retired,married,primary,2079,no,no,cellular,13,aug,100,1,191,3,other,no
34,management,single,tertiary,275,no,no,cellular,2,aug,196,2,455,23,other,yes
50,management,married,tertiary,469,no,no,cellular,16,apr,161,1,-1,0,unknown,yes
37,management,married,tertiary,2987,yes,no,cellular,15,feb,93,1,91,9,failure,yes
39,technician,divorced,secondary,0,no,no,cellular,29,aug,35,6,-1,0,unknown,no
32,technician,single,secondary,-122,yes,yes,cellular,31,jul,55,17,-1,0,unknown,no
51,unemployed,married,secondary,-267,no,yes,unknown,19,jun,208,2,-1,0,unknown,no
47,blue-collar,married,secondary,1484,no,no,cellular,17,nov,297,1,119,3,failure,no
43,blue-collar,married,primary,2605,yes,no,unknown,15,may,347,4,-1,0,unknown,no
41,entrepreneur,married,tertiary,2249,yes,no,telephone,16,jul,231,5,-1,0,unknown,no
37,blue-collar,divorced,secondary,811,yes,yes,cellular,6,apr,185,3,-1,0,unknown,no
38,entrepreneur,divorced,secondary,1190,yes,no,cellular,4,jun,81,2,391,3,failure,yes
34,blue-collar,single,primary,0,yes,no,unknown,8,may,323,1,-1,0,unknown,no
41,admin.,single,secondary,734,yes,no,unknown,3,jun,332,3,-1,0,unknown,no
33,management,married,tertiary,8339,yes,no,cellular,5,may,335,2,165,5,other,no
26,technician,single,tertiary,777,yes,no,cellular,14,aug,260,2,463,1,failure,no
38,admin.,married,secondary,271,no,no,cellular,7,apr,60,3,-1,0,unknown,no
35,blue-collar,single,secondary,1239,yes,no,cellular,29,jan,112,1,195,1,failure,no
27,technician,married,secondary,58,yes,no,unknown,28,may,82,1,-1,0,unknown,no
31,management,married,tertiary,1215,no,no,cellular,25,jul,80,2,-1,0,unknown,no
36,admin.,married,secondary,251,no,no,cellular,30,jul,180,7,-1,0,unknown,no
39,blue-collar,married,primary,95,yes,no,unknown,16,may,230,1,-1,0,unknown,no
39,blue-collar,married,secondary,-931,yes,no,unknown,28,may,92,5,-1,0,unknown,no
58,blue-collar,married,primary,42,yes,no,cellular,9,feb,96,6,264,3,failure,no
28,admin.,married,secondary,9779,yes,yes,unknown,28,may,480,2,-1,0,unknown,no
51,blue-collar,married,unknown,0,yes,no,telephone,7,may,10,4,-1,0,unknown,no
55,unemployed,married,tertiary,457,yes,no,unknown,5,jun,61,3,-1,0,unknown,no
37,services,married,secondary,466,yes,yes,cellular,25,may,377,1,-1,0,unknown,yes
40,services,married,secondary,111,yes,no,cellular,23,jul,134,1,-1,0,unknown,no
53,blue-collar,divorced,primary,559,no,no,telephone,9,feb,16,5,-1,0,unknown,no
32,blue-collar,married,primary,-275,yes,yes,unknown,27,may,321,1,-1,0,unknown,no
25,blue-collar,married,secondary,53,yes,no,unknown,13,may,331,2,-1,0,unknown,no
28,admin.,married,secondary,358,no,no,cellular,4,feb,220,1,-1,0,unknown,no
57,blue-collar,married,primary,195,no,yes,telephone,30,jul,185,4,-1,0,unknown,no
36,blue-collar,married,primary,599,yes,no,unknown,21,may,649,2,-1,0,unknown,yes
57,retired,married,secondary,663,no,no,cellular,14,aug,107,2,-1,0,unknown,no
37,management,married,tertiary,6743,no,no,cellular,28,aug,13,13,-1,0,unknown,no
45,self-employed,married,tertiary,0,yes,no,cellular,17,nov,134,1,-1,0,unknown,no
35,blue-collar,single,secondary,142,yes,no,cellular,26,may,293,2,19,3,failure,no
40,management,married,tertiary,2763,yes,no,cellular,2,jul,566,1,395,2,success,yes
43,services,married,secondary,-1,no,no,cellular,30,jul,605,2,-1,0,unknown,no
47,blue-collar,married,secondary,-18,no,yes,cellular,22,aug,155,2,-1,0,unknown,no
36,unemployed,married,secondary,-129,yes,no,cellular,29,jul,121,3,-1,0,unknown,no
28,blue-collar,married,secondary,781,yes,no,unknown,27,may,749,2,-1,0,unknown,no
37,unemployed,single,primary,1648,yes,no,unknown,5,jun,166,2,-1,0,unknown,no
47,technician,married,primary,434,yes,yes,cellular,5,may,278,1,-1,0,unknown,no
38,blue-collar,married,secondary,220,yes,no,cellular,29,jan,207,2,-1,0,unknown,no
40,blue-collar,married,secondary,193,yes,yes,unknown,26,may,258,1,-1,0,unknown,no
34,management,married,tertiary,158,no,no,cellular,9,mar,212,3,181,6,success,yes
30,management,single,tertiary,1692,yes,no,cellular,15,may,251,1,-1,0,unknown,no
31,management,married,tertiary,18,yes,no,cellular,30,jul,72,19,-1,0,unknown,no
57,entrepreneur,married,secondary,905,no,no,cellular,7,aug,121,1,-1,0,unknown,no
42,blue-collar,married,primary,170,yes,no,unknown,19,may,51,41,-1,0,unknown,no
38,technician,married,secondary,508,yes,no,cellular,18,nov,722,3,175,2,failure,no
32,management,single,secondary,453,yes,no,cellular,2,feb,544,1,269,2,failure,no
40,management,married,secondary,6695,yes,no,unknown,30,may,115,1,-1,0,unknown,no
45,blue-collar,married,primary,2523,yes,no,cellular,13,may,110,4,-1,0,unknown,no
41,blue-collar,married,secondary,-56,yes,no,cellular,13,apr,137,1,333,2,other,no
32,blue-collar,single,primary,1660,no,no,unknown,20,may,14,1,-1,0,unknown,no
31,blue-collar,married,secondary,519,yes,no,cellular,29,jan,623,2,-1,0,unknown,no
43,management,divorced,secondary,1387,no,no,telephone,23,jul,296,2,-1,0,unknown,no
39,technician,married,secondary,9121,no,no,unknown,5,jun,147,1,-1,0,unknown,no
33,management,married,tertiary,4636,no,no,cellular,22,aug,129,6,-1,0,unknown,no
52,blue-collar,married,primary,0,no,no,cellular,23,jul,322,3,-1,0,unknown,no
39,blue-collar,married,secondary,0,yes,no,cellular,30,jul,61,3,-1,0,unknown,no
47,blue-collar,married,primary,0,no,no,cellular,26,aug,71,4,-1,0,unknown,no
33,services,divorced,secondary,-297,yes,no,unknown,26,may,162,2,-1,0,unknown,no
35,management,married,secondary,1,yes,no,unknown,29,may,246,2,-1,0,unknown,no
34,technician,married,secondary,91,no,no,cellular,29,aug,67,4,-1,0,unknown,no
51,housemaid,divorced,primary,336,no,no,unknown,17,jun,105,1,-1,0,unknown,no
57,technician,divorced,secondary,1244,yes,no,cellular,18,jul,383,1,-1,0,unknown,no
33,blue-collar,single,secondary,179,no,no,cellular,14,jul,244,7,-1,0,unknown,no
45,technician,married,secondary,2776,yes,no,cellular,27,jul,287,2,181,1,success,yes
40,blue-collar,married,unknown,486,yes,no,unknown,20,may,97,8,-1,0,unknown,no
27,student,single,tertiary,118,no,no,cellular,31,aug,160,3,98,1,failure,yes
40,technician,married,secondary,56,yes,yes,unknown,27,may,223,1,-1,0,unknown,no
39,management,married,tertiary,4539,no,no,cellular,30,apr,301,1,-1,0,unknown,no
57,housemaid,divorced,primary,492,no,no,telephone,21,nov,181,2,-1,0,unknown,no
42,entrepreneur,married,primary,149,no,no,cellular,20,aug,94,2,-1,0,unknown,no
66,entrepreneur,married,primary,0,no,no,telephone,12,aug,701,1,-1,0,unknown,no
29,admin.,married,secondary,2,yes,no,cellular,6,may,339,1,362,1,failure,no
27,blue-collar,single,secondary,179,yes,no,cellular,18,may,74,2,-1,0,unknown,no
33,technician,married,secondary,804,no,yes,telephone,18,aug,212,2,-1,0,unknown,no
53,management,married,secondary,2895,yes,no,unknown,29,may,74,1,-1,0,unknown,no
30,management,married,tertiary,740,yes,yes,cellular,11,may,242,3,341,1,other,no
35,services,married,secondary,240,yes,yes,cellular,11,may,161,2,-1,0,unknown,no
28,technician,single,tertiary,-481,yes,yes,cellular,2,feb,100,1,-1,0,unknown,no
43,management,married,tertiary,2,no,yes,cellular,20,aug,472,2,-1,0,unknown,no
31,blue-collar,married,primary,0,yes,no,unknown,27,may,159,2,-1,0,unknown,no
32,technician,married,secondary,1337,no,no,unknown,26,may,368,6,-1,0,unknown,no
30,technician,single,secondary,-754,yes,yes,unknown,26,may,974,1,-1,0,unknown,no
29,admin.,single,secondary,468,yes,yes,unknown,23,may,353,1,-1,0,unknown,no
42,technician,married,secondary,55,yes,no,cellular,21,jul,291,1,-1,0,unknown,no
33,services,married,secondary,740,no,yes,unknown,30,jun,266,3,-1,0,unknown,no
34,management,married,tertiary,46,no,no,cellular,19,aug,729,5,-1,0,unknown,no
32,admin.,single,secondary,3950,yes,no,cellular,18,may,232,1,178,1,success,no
73,retired,married,unknown,519,no,no,telephone,16,oct,434,1,57,1,failure,yes
33,management,married,tertiary,530,yes,no,cellular,8,aug,94,2,-1,0,unknown,no
29,blue-collar,married,secondary,-95,yes,no,cellular,18,may,164,1,370,1,failure,no
37,blue-collar,married,secondary,790,no,no,unknown,9,may,262,1,-1,0,unknown,no
28,admin.,single,secondary,119,no,no,cellular,19,feb,260,3,-1,0,unknown,no
38,unemployed,single,secondary,223,yes,no,cellular,30,jul,698,4,-1,0,unknown,no
36,services,married,primary,0,yes,no,unknown,2,jun,1036,1,-1,0,unknown,yes
54,blue-collar,divorced,secondary,1613,yes,no,cellular,7,jul,128,3,-1,0,unknown,no
53,admin.,married,primary,228,yes,no,unknown,16,may,97,1,-1,0,unknown,no
24,management,single,tertiary,2845,no,no,cellular,30,apr,779,2,-1,0,unknown,yes
51,blue-collar,married,secondary,187,yes,no,cellular,6,aug,277,3,-1,0,unknown,no
37,management,married,tertiary,59,yes,yes,telephone,2,feb,319,1,213,1,failure,no
40,technician,married,secondary,770,yes,no,unknown,14,may,200,1,-1,0,unknown,no
41,management,single,tertiary,1355,no,no,cellular,23,jul,179,2,-1,0,unknown,no
37,management,married,tertiary,825,yes,no,cellular,11,aug,214,5,-1,0,unknown,no
39,admin.,married,unknown,3252,no,no,cellular,21,aug,298,1,-1,0,unknown,no
45,admin.,single,secondary,276,no,yes,unknown,9,jun,346,2,-1,0,unknown,no
30,services,single,secondary,-838,yes,no,unknown,21,may,142,2,-1,0,unknown,no
44,management,married,tertiary,-11,no,no,cellular,26,aug,317,5,-1,0,unknown,no
44,blue-collar,single,primary,787,yes,no,unknown,30,may,570,2,-1,0,unknown,no
39,unemployed,single,secondary,356,yes,no,unknown,30,may,462,2,-1,0,unknown,no
37,services,married,secondary,217,yes,no,cellular,11,may,152,1,-1,0,unknown,no
42,services,divorced,secondary,1043,yes,no,cellular,21,jul,97,3,-1,0,unknown,no
37,blue-collar,married,primary,949,yes,no,unknown,30,may,149,1,-1,0,unknown,no
50,technician,divorced,secondary,0,yes,no,cellular,13,aug,120,2,91,6,failure,no
49,services,married,primary,5737,yes,no,unknown,29,may,417,2,-1,0,unknown,no
24,management,single,secondary,86,no,no,unknown,2,jun,1075,2,-1,0,unknown,no
46,technician,married,tertiary,53,no,no,unknown,12,jun,12,3,-1,0,unknown,no
29,admin.,single,unknown,2083,yes,no,unknown,3,jun,94,2,-1,0,unknown,no
51,technician,married,secondary,-1042,yes,no,unknown,27,may,272,2,-1,0,unknown,no
49,blue-collar,married,secondary,553,no,no,cellular,12,aug,645,8,-1,0,unknown,yes
53,management,married,tertiary,0,yes,yes,cellular,21,nov,266,6,-1,0,unknown,no
46,entrepreneur,married,secondary,0,no,yes,cellular,18,jul,115,1,-1,0,unknown,no
37,management,married,secondary,341,no,no,unknown,3,jun,120,2,-1,0,unknown,no
44,admin.,divorced,secondary,2,yes,no,unknown,19,may,429,1,-1,0,unknown,no
45,blue-collar,married,secondary,-149,yes,no,unknown,15,may,644,2,-1,0,unknown,no
36,management,single,tertiary,2745,yes,no,cellular,8,aug,306,3,-1,0,unknown,no
34,technician,single,secondary,1087,no,no,unknown,1,jun,7,1,-1,0,unknown,no
29,admin.,single,secondary,265,yes,no,cellular,25,nov,414,1,184,1,failure,yes
44,blue-collar,married,unknown,879,no,no,telephone,31,jul,28,1,-1,0,unknown,no
45,unemployed,divorced,primary,757,no,no,cellular,20,apr,103,1,325,4,failure,no
34,technician,married,primary,926,yes,yes,unknown,2,jun,142,2,-1,0,unknown,no
52,technician,married,unknown,370,yes,no,cellular,15,jul,101,2,-1,0,unknown,no
42,services,married,primary,473,yes,no,cellular,30,jan,54,1,-1,0,unknown,no
58,blue-collar,divorced,primary,474,yes,yes,cellular,18,jul,85,1,-1,0,unknown,no
35,admin.,married,secondary,1286,yes,no,cellular,5,may,862,3,337,1,other,yes
38,blue-collar,married,secondary,168,no,yes,cellular,2,feb,151,1,-1,0,unknown,no
26,services,single,secondary,1700,yes,no,cellular,7,may,13,5,-1,0,unknown,no
60,management,divorced,tertiary,581,yes,no,cellular,8,aug,89,2,-1,0,unknown,no
36,blue-collar,married,secondary,270,yes,yes,cellular,20,nov,884,2,-1,0,unknown,no
34,services,single,secondary,16,yes,no,cellular,20,nov,340,1,-1,0,unknown,no
38,admin.,single,secondary,626,no,no,cellular,2,jun,132,4,-1,0,unknown,no
53,blue-collar,married,secondary,21522,no,no,cellular,20,nov,83,3,149,4,failure,no
32,blue-collar,single,primary,1959,no,no,cellular,20,nov,348,3,-1,0,unknown,no
52,blue-collar,married,primary,1141,yes,no,cellular,12,may,22,5,-1,0,unknown,no
35,blue-collar,married,secondary,2074,no,no,cellular,6,feb,183,4,-1,0,unknown,no
44,management,married,tertiary,673,no,no,cellular,5,feb,105,1,-1,0,unknown,no
49,management,married,tertiary,1912,yes,no,cellular,20,aug,380,4,-1,0,unknown,no
46,management,married,tertiary,716,yes,yes,cellular,8,may,557,1,172,1,failure,no
30,services,single,tertiary,0,no,no,unknown,4,jul,71,1,-1,0,unknown,no
51,housemaid,married,secondary,294,no,no,cellular,20,nov,640,1,-1,0,unknown,no
32,technician,married,secondary,91,yes,no,cellular,12,may,209,1,-1,0,unknown,no
28,services,married,secondary,510,yes,yes,cellular,8,jul,1767,2,-1,0,unknown,yes
32,blue-collar,married,primary,1076,yes,no,unknown,19,may,67,1,-1,0,unknown,no
37,management,single,tertiary,-70,no,yes,cellular,29,jan,147,2,-1,0,unknown,no
58,technician,divorced,secondary,-354,yes,yes,cellular,7,jul,98,1,-1,0,unknown,no
52,management,divorced,secondary,944,no,yes,unknown,9,jun,119,1,-1,0,unknown,no
39,services,married,secondary,0,no,no,unknown,5,jun,251,1,-1,0,unknown,no
40,technician,married,secondary,240,no,no,unknown,12,jun,68,4,-1,0,unknown,no
31,services,married,secondary,500,yes,no,unknown,6,jun,19,18,-1,0,unknown,no
49,management,married,tertiary,1216,yes,yes,unknown,30,may,244,2,-1,0,unknown,no
54,admin.,married,secondary,276,yes,yes,cellular,27,apr,66,1,-1,0,unknown,no
30,technician,married,tertiary,0,no,no,cellular,28,aug,140,9,-1,0,unknown,no
36,technician,single,tertiary,197,no,no,cellular,30,apr,260,1,-1,0,unknown,yes
53,management,divorced,tertiary,195,yes,no,unknown,29,may,217,1,-1,0,unknown,no
39,management,divorced,tertiary,373,no,no,cellular,26,aug,148,4,-1,0,unknown,no
50,unemployed,married,secondary,525,yes,no,telephone,18,nov,177,2,-1,0,unknown,no
51,management,married,tertiary,2430,no,no,cellular,4,aug,266,2,-1,0,unknown,no
28,technician,single,tertiary,1026,yes,no,cellular,13,may,101,3,-1,0,unknown,no
48,student,single,unknown,1279,no,no,telephone,20,oct,2429,1,-1,0,unknown,no
30,housemaid,single,secondary,49,yes,no,unknown,13,may,267,2,-1,0,unknown,no
45,management,single,tertiary,2532,no,no,cellular,29,jul,64,6,-1,0,unknown,no
32,management,single,tertiary,499,yes,no,cellular,14,may,182,1,339,2,failure,no
39,blue-collar,married,primary,2862,yes,no,unknown,28,may,227,2,-1,0,unknown,no
